country,categoria_expectativa_vida,rec_government_integrity,rec_energy_use_kg_of_oil_equivalent_per_capita,rec_life_expectancy_at_birth_total_years,rec_agriculture_value_added_of_gdp,rec_services_value_added_of_gdp,rec_infant_mortality_rate_per_1_000_live_births,rec_tiene_dato_gini,rec_ratio_servicios_agri,gdp_per_capita_current_us$
Argentina,Mortalidad_Baja,-0.4573526288748251,-0.19371156461062217,0.3923103038435474,-0.31943825440455953,-0.06759502296014469,-0.649281705027672,1.1097912232782774,-0.1415684535314301,12949.717486654
Argentina,Mortalidad_Baja,-0.5449227292998966,-0.1614438568633995,0.3643079665473534,-0.2811008241692618,-0.20265032871968897,-0.6472425652329843,1.1270277341149462,-0.15171948125939305,12704.2831819684
Argentina,Mortalidad_Baja,-0.5763541766733423,-0.15683636094008702,0.35306041262015503,-0.2687602278985265,-0.23979251469452342,-0.6451519271325092,1.1168214965351753,-0.1550155268277082,10260.1313108254
Argentina,Mortalidad_Baja,-0.4793475318570819,-0.20803226419063833,0.3830981316794854,-0.31213077405513084,-0.062448748176612945,-0.6455440224872973,1.1188130720162397,-0.13805712944613008,8150.23527028221
Argentina,Mortalidad_Baja,-0.6196430502644072,-0.12421793069797589,0.3403042930904544,-0.24879966842780651,-0.33643089504797796,-0.646176096305605,1.1035225059771785,-0.16611707484328048,8944.1102657357
Argentina,Mortalidad_Media,-0.6650159078363069,-0.11358025041709467,0.32078409273238856,-0.23294854182022856,-0.39578587825440514,-0.6433761895760836,1.0823412756217397,-0.17540134731493917,7185.25155147027
Argentina,Mortalidad_Baja,-0.7184189840676503,-0.10509208788993461,0.28604954612660655,-0.21986492906635519,-0.465016262207335,-0.6410062952667073,1.0622110443350024,-0.19261972987182574,5869.38028970204
Argentina,Mortalidad_Baja,-0.7259558499215045,-0.12947549504565656,0.2793995618510431,-0.2157356472754491,-0.46031219939870954,-0.6427690592593169,1.061251532620396,-0.18255923223260528,5067.65342293276
Argentina,Mortalidad_Media,-0.7089029766013517,-0.10876543554876654,0.29477553433422843,-0.2161225086740861,-0.4790600849932448,-0.6471250636844914,1.0711514926458752,-0.1812299109875778,4242.02099089422
Argentina,Mortalidad_Media,-0.5806040170235763,-0.16527778792770173,0.3495701982254322,-0.2694936235109915,-0.23073696682401074,-0.6428196545286226,1.0798940376395707,-0.1562361726923962,3320.47775133903
